GameID,Season,Date,Playoffs,Team,Opp,Coach,Location,HackedPlayerID,HackedFTRate,StartQ,StartTime,StartMargin,PlayerRemoved,PlayerRestTime,EndQ,EndTime,EndMargin,NumPoss,FTM,FTA,ReturnMargin,2ndChancePts,Win
21500232,15,2015-11-27 00:00:00,0,PHI,HOU,"('Brown', 'Brett')",-1,2730,0.489,4,2:07,-4,0,0,4,1:26,-4,1,0,2,inf,0,0
21500247,15,2015-11-29 00:00:00,0,MIN,LAC,"('Mitchell', 'Sam')",-1,201599,0.43,2,0:20,-11,0,0,3,11:22,-9,1,0,2,inf,0,0
21500247,15,2015-11-29 00:00:00,0,MIN,LAC,"('Mitchell', 'Sam')",-1,201599,0.43,4,2:27,-11,0,0,4,1:44,-9,3,3,8,inf,2,0
21500249,15,2015-11-29 00:00:00,0,BOS,ORL,"('Stevens', 'Brad')",-1,203901,0.589,4,2:47,-14,0,0,4,2:20,-17,1,1,2,inf,0,0
21500253,15,2015-11-29 00:00:00,0,LAL,IND,"('Scott', 'Byron')",1,101133,0.587,4,3:54,-4,1,91,4,3:24,-6,1,4,4,-1,0,0
21500254,15,2015-11-30 00:00:00,0,HOU,DET,"('Bickerstaff', 'J.B.')",-1,203083,0.355,3,5:11,-18,1,268,3,4:28,-18,3,2,8,-11,0,0
21500254,15,2015-11-30 00:00:00,0,HOU,DET,"('Bickerstaff', 'J.B.')",-1,203083,0.355,4,4:07,-13,1,128,4,4:04,-13,0,0,2,1,0,0
21500260,15,2015-11-30 00:00:00,0,DAL,SAC,"('Carlisle', 'Rick')",-1,200765,0.58,2,2:44,1,0,0,2,0:45,2,4,1,4,inf,0,0
21500260,15,2015-11-30 00:00:00,0,DAL,SAC,"('Carlisle', 'Rick')",-1,200765,0.58,2,0:36,3,0,0,2,0:01,4,1,1,2,inf,0,0
21500260,15,2015-11-30 00:00:00,0,DAL,SAC,"('Carlisle', 'Rick')",-1,200765,0.58,3,3:51,-6,0,0,3,3:31,-6,1,0,2,inf,0,0
21500260,15,2015-11-30 00:00:00,0,DAL,SAC,"('Carlisle', 'Rick')",-1,200765,0.58,3,3:26,-6,0,0,3,2:52,-8,1,2,2,inf,0,0
21500260,15,2015-11-30 00:00:00,0,DAL,SAC,"('Carlisle', 'Rick')",-1,200765,0.58,4,3:27,-11,0,0,4,2:52,-14,2,3,4,inf,0,0
21500261,15,2015-11-30 00:00:00,0,POR,LAC,"('Stotts', 'Terry')",-1,201599,0.43,2,3:34,5,0,0,2,2:29,1,2,2,4,inf,0,0
21500261,15,2015-11-30 00:00:00,0,POR,LAC,"('Stotts', 'Terry')",-1,201599,0.43,3,5:11,-7,0,0,3,4:36,-9,1,0,2,inf,0,0
21500261,15,2015-11-30 00:00:00,0,POR,LAC,"('Stotts', 'Terry')",-1,201599,0.43,3,3:38,-9,1,190,3,3:10,-9,1,0,4,-10,0,0
21500261,15,2015-11-30 00:00:00,0,POR,LAC,"('Stotts', 'Terry')",-1,201599,0.43,4,3:51,-14,0,0,4,1:45,-15,9,8,18,inf,0,0
21500267,15,2015-12-01 00:00:00,0,DAL,POR,"('Carlisle', 'Rick')",-1,202334,0.559,4,2:59,-5,0,0,4,2:32,-7,1,2,2,inf,0,1
21500270,15,2015-12-02 00:00:00,0,PHX,DET,"('Hornacek', 'Jeff')",-1,203083,0.355,2,1:57,0,1,90,2,1:30,3,2,1,4,0,0,0
21500270,15,2015-12-02 00:00:00,0,PHX,DET,"('Hornacek', 'Jeff')",-1,203083,0.355,3,0:10,10,0,0,3,0:00,9,1,1,2,inf,0,0
21500273,15,2015-12-02 00:00:00,0,DEN,CHI,"('Malone', 'Mike')",-1,201149,0.489,4,0:51,-8,0,0,4,0:46,-7,1,1,2,inf,0,0
