AST,BLK,DREB,FG_PCT,FG3_PCT,FG3A,FG3M,FGA,FGM,FT_PCT,FTA,FTM,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
26,6,38,0.554,0.448,29,13,83,46,23,19,0.826,5/8/15,41400233,LAC vs. HOU,240,12,27,25,124,50,42014,12,LAC,1610612746,Los Angeles Clippers,18,1,W
21,5,27,0.398,0.333,33,11,88,35,31,18,0.581,5/8/15,41400233,HOU @ LAC,240,16,18,-25,99,43,42014,8,HOU,1610612745,Houston Rockets,15,1,L
27,5,41,0.494,0.419,31,13,79,39,63,37,0.587,5/10/15,41400234,LAC vs. HOU,240,10,22,33,128,51,42014,9,LAC,1610612746,Los Angeles Clippers,11,1,W
20,1,37,0.41,0.429,28,12,83,34,30,15,0.5,5/10/15,41400234,HOU @ LAC,240,10,40,-33,95,47,42014,6,HOU,1610612745,Houston Rockets,21,1,L
29,3,43,0.541,0.31,29,9,85,46,38,23,0.605,5/12/15,41400235,HOU vs. LAC,240,15,24,21,124,58,42014,5,HOU,1610612745,Houston Rockets,11,1,W
22,2,26,0.418,0.257,35,9,91,38,31,18,0.581,5/12/15,41400235,LAC @ HOU,240,13,27,-21,103,39,42014,6,LAC,1610612746,Los Angeles Clippers,7,1,L
19,5,45,0.425,0.406,32,13,87,37,47,32,0.681,5/14/15,41400236,HOU @ LAC,240,15,22,12,119,60,42014,8,HOU,1610612745,Houston Rockets,10,1,W
19,7,37,0.418,0.233,30,7,91,38,32,24,0.75,5/14/15,41400236,LAC vs. HOU,240,4,31,-12,107,41,42014,8,LAC,1610612746,Los Angeles Clippers,8,1,L
22,4,36,0.449,0.4,30,12,78,35,41,31,0.756,5/17/15,41400237,HOU vs. LAC,240,4,21,13,113,40,42014,11,HOU,1610612745,Houston Rockets,17,1,W
23,9,33,0.446,0.25,28,7,92,41,17,11,0.647,5/17/15,41400237,LAC @ HOU,240,15,32,-13,100,48,42014,10,LAC,1610612746,Los Angeles Clippers,18,1,L
19,3,30,0.442,0.174,23,4,77,34,0.739,23,17,5/20/15,41400301,ATL vs. CLE,240,7,21,-8,89,37,42014,6,ATL,1610612737,Atlanta Hawks,12,1,L
15,3,32,0.418,0.231,26,6,79,33,0.769,13,10,5/22/15,41400302,ATL vs. CLE,240,7,19,-12,82,39,42014,7,ATL,1610612737,Atlanta Hawks,11,1,L
24,6,37,0.412,0.389,36,14,97,40,0.69,29,20,5/24/15,41400303,CLE vs. ATL,265,19,24,3,114,56,42014,3,CLE,1610612739,Cleveland Cavaliers,13,1,W
20,3,36,0.409,0.367,30,11,88,36,0.875,32,28,5/24/15,41400303,ATL @ CLE,265,6,25,-3,111,42,42014,9,ATL,1610612737,Atlanta Hawks,7,1,L
22,3,32,0.424,0.156,32,5,85,36,0.611,18,11,5/26/15,41400304,ATL @ CLE,240,7,20,-30,88,39,42014,4,ATL,1610612737,Atlanta Hawks,8,1,L
27,3,29,0.467,0.345,29,10,92,43,0.636,22,14,5/19/15,41400311,GSW vs. HOU,240,14,23,4,110,43,42014,9,GSW,1610612744,Golden State Warriors,13,1,W
27,6,33,0.465,0.364,22,8,86,40,0.643,28,18,5/19/15,41400311,HOU @ GSW,240,14,19,-4,106,47,42014,8,HOU,1610612745,Houston Rockets,16,1,L
31,8,32,0.532,0.333,24,8,77,41,0.692,13,9,5/21/15,41400312,GSW vs. HOU,240,7,17,1,99,39,42014,7,GSW,1610612744,Golden State Warriors,17,1,W
20,5,28,0.464,0.304,23,7,84,39,0.684,19,13,5/21/15,41400312,HOU @ GSW,240,11,18,-1,98,39,42014,10,HOU,1610612745,Houston Rockets,11,1,L
15,4,30,0.337,0.2,25,5,83,28,0.613,31,19,5/23/15,41400313,HOU vs. GSW,240,9,19,-35,80,39,42014,7,HOU,1610612745,Houston Rockets,15,1,L
22,10,42,0.566,0.531,32,17,76,43,0.581,43,25,5/25/15,41400314,HOU vs. GSW,240,4,16,13,128,46,42014,8,HOU,1610612745,Houston Rockets,17,1,W
16,6,29,0.351,0.208,24,5,74,26,0.75,44,33,5/27/15,41400315,HOU @ GSW,240,10,26,-14,90,39,42014,12,HOU,1610612745,Houston Rockets,20,1,L
24,5,37,0.443,0.37,27,10,88,39,0.909,22,20,6/4/15,41400401,GSW vs. CLE,265,11,16,8,108,48,42014,8,GSW,1610612744,Golden State Warriors,12,1,W
16,7,35,0.398,0.229,35,8,83,33,0.76,25,19,6/7/15,41400402,GSW vs. CLE,265,10,31,-2,93,45,42014,11,GSW,1610612744,Golden State Warriors,19,1,L
21,7,28,0.4,0.353,34,12,90,36,0.583,12,7,6/9/15,41400403,GSW @ CLE,240,18,25,-5,91,46,42014,6,GSW,1610612744,Golden State Warriors,14,1,L
16,3,33,0.33,0.148,27,4,88,29,0.714,28,20,6/11/15,41400404,CLE vs. GSW,240,16,19,-21,82,49,42014,2,CLE,1610612739,Cleveland Cavaliers,9,1,L
17,4,27,0.395,0.343,35,12,81,32,0.714,21,15,6/14/15,41400405,CLE @ GSW,240,10,28,-13,91,37,42014,10,CLE,1610612739,Cleveland Cavaliers,14,1,L
28,4,32,0.435,0.382,34,13,85,37,0.621,29,18,6/16/15,41400406,GSW @ CLE,240,7,27,8,105,39,42014,11,GSW,1610612744,Golden State Warriors,9,1,W
