MIN,FG3M,FG3A,TEAM_NAME,AST,FG_PCT,OREB,PLUS_MINUS,MATCHUP,TEAM_ABBREVIATION,PTS,FTA,FTM,GAME_ID,SEASON_ID,FGM,WL,PF,FGA,BLK,REB,FT_PCT,DREB,STL,FG3_PCT,GAME_DATE,TOV,VIDEO_AVAILABLE,TEAM_ID
240,6,16,Indiana Pacers,24,0.471,15,17,IND vs. TOR,IND,100,18,14,41500114,42015,40,W,22,85,5,43,0.778,28,10,0.375,4/23/16,13,1,1610612754
240,8,30,Toronto Raptors,12,0.365,11,-17,TOR @ IND,TOR,83,30,21,41500114,42015,27,L,20,74,3,40,0.7,29,8,0.267,4/23/16,19,1,1610612761
240,6,26,Toronto Raptors,12,0.402,12,3,TOR vs. IND,TOR,102,35,30,41500115,42015,33,W,18,82,3,41,0.857,29,9,0.231,4/26/16,8,1,1610612761
240,13,29,Indiana Pacers,22,0.452,8,-3,IND @ TOR,IND,99,23,20,41500115,42015,33,L,26,73,5,41,0.87,33,5,0.448,4/26/16,16,1,1610612754
240,8,22,Indiana Pacers,21,0.461,12,18,IND vs. TOR,IND,101,26,23,41500116,42015,35,W,25,76,7,44,0.885,32,12,0.364,4/29/16,14,1,1610612754
240,9,29,Toronto Raptors,14,0.367,15,-18,TOR @ IND,TOR,83,25,16,41500116,42015,29,L,23,79,5,40,0.64,25,9,0.31,4/29/16,17,1,1610612761
240,8,24,Toronto Raptors,21,0.382,18,5,TOR vs. IND,TOR,89,17,13,41500117,42015,34,W,12,89,7,49,0.765,31,7,0.333,5/1/16,9,1,1610612761
240,9,19,Indiana Pacers,12,0.466,5,-5,IND @ TOR,IND,84,8,7,41500117,42015,34,L,17,73,5,38,0.875,33,5,0.474,5/1/16,15,1,1610612754
240,9,18,Miami Heat,27,0.576,14,32,MIA vs. CHA,MIA,123,21,16,41500121,42015,49,W,24,85,4,42,0.762,28,7,0.5,4/17/16,6,1,1610612748
240,6,17,Charlotte Hornets,11,0.431,7,-32,CHA @ MIA,CHA,91,37,29,41500121,42015,28,L,17,65,2,28,0.784,21,5,0.353,4/17/16,11,1,1610612766
240,9,16,Miami Heat,19,0.579,3,12,MIA vs. CHA,MIA,115,22,18,41500122,42015,44,W,25,76,6,35,0.818,32,6,0.563,4/20/16,11,1,1610612748
240,1,16,Charlotte Hornets,9,0.427,15,-12,CHA @ MIA,CHA,103,33,26,41500122,42015,38,L,16,89,1,39,0.788,24,3,0.063,4/20/16,8,1,1610612766
240,5,18,Charlotte Hornets,18,0.389,9,16,CHA vs. MIA,CHA,96,22,21,41500123,42015,35,W,24,90,4,47,0.955,38,5,0.278,4/23/16,4,1,1610612766
240,7,22,Miami Heat,13,0.342,12,-16,MIA @ CHA,MIA,80,30,19,41500123,42015,27,L,20,79,8,53,0.633,41,1,0.318,4/23/16,15,1,1610612748
240,4,16,Charlotte Hornets,10,0.4,6,4,CHA vs. MIA,CHA,89,30,25,41500124,42015,30,W,20,75,7,36,0.833,30,7,0.25,4/25/16,10,1,1610612766
240,11,29,Miami Heat,20,0.395,10,-4,MIA @ CHA,MIA,85,21,14,41500124,42015,30,L,26,76,8,46,0.667,36,2,0.379,4/25/16,17,1,1610612748
240,12,24,Charlotte Hornets,21,0.393,5,2,CHA @ MIA,CHA,90,15,12,41500125,42015,33,W,14,84,3,41,0.8,36,8,0.5,4/27/16,12,1,1610612766
240,5,18,Miami Heat,17,0.42,6,-2,MIA vs. CHA,MIA,88,19,15,41500125,42015,34,L,16,81,6,50,0.789,44,7,0.278,4/27/16,14,1,1610612748
240,8,16,Miami Heat,14,0.458,11,7,MIA @ CHA,MIA,97,15,13,41500126,42015,38,W,24,83,10,46,0.867,35,4,0.5,4/29/16,13,1,1610612748
240,5,17,Charlotte Hornets,12,0.421,5,-7,CHA vs. MIA,CHA,90,25,21,41500126,42015,32,L,17,76,5,31,0.84,26,8,0.294,4/29/16,11,1,1610612766
240,9,24,Miami Heat,24,0.483,10,33,MIA vs. CHA,MIA,106,16,11,41500127,42015,43,W,16,89,8,58,0.688,48,2,0.375,5/1/16,9,1,1610612748
240,7,22,Charlotte Hornets,14,0.321,3,-33,CHA @ MIA,CHA,73,12,12,41500127,42015,27,L,14,84,1,36,1,33,4,0.318,5/1/16,10,1,1610612766
240,5,26,Atlanta Hawks,23,0.407,13,1,ATL vs. BOS,ATL,102,35,27,41500131,42015,35,W,20,86,9,53,0.771,40,4,0.192,4/16/16,12,1,1610612737
240,11,35,Boston Celtics,27,0.363,15,-1,BOS @ ATL,BOS,101,19,16,41500131,42015,37,L,32,102,6,50,0.842,35,6,0.314,4/16/16,10,1,1610612738
240,11,29,Atlanta Hawks,20,0.39,3,17,ATL vs. BOS,ATL,89,16,14,41500132,42015,32,W,16,82,15,49,0.875,46,7,0.379,4/19/16,16,1,1610612737
240,5,28,Boston Celtics,16,0.318,10,-17,BOS @ ATL,BOS,72,12,11,41500132,42015,28,L,15,88,10,43,0.917,33,5,0.179,4/19/16,16,1,1610612738
240,11,32,Boston Celtics,23,0.463,7,8,BOS vs. ATL,BOS,111,33,24,41500133,42015,38,W,20,82,6,44,0.727,37,10,0.344,4/22/16,16,1,1610612738
240,9,36,Atlanta Hawks,19,0.442,7,-8,ATL @ BOS,ATL,103,21,18,41500133,42015,38,L,24,86,7,41,0.857,34,10,0.25,4/22/16,14,1,1610612737
265,11,33,Boston Celtics,25,0.426,12,9,BOS vs. ATL,BOS,104,19,13,41500134,42015,40,W,19,94,7,52,0.684,40,7,0.333,4/24/16,14,1,1610612738
265,12,42,Atlanta Hawks,18,0.374,12,-9,ATL @ BOS,ATL,95,13,9,41500134,42015,37,L,20,99,6,49,0.692,37,8,0.286,4/24/16,15,1,1610612737
240,14,35,Atlanta Hawks,30,0.438,13,27,ATL vs. BOS,ATL,110,16,12,41500135,42015,42,W,17,96,3,51,0.75,38,13,0.4,4/26/16,12,1,1610612737
240,7,29,Boston Celtics,19,0.377,10,-27,BOS @ ATL,BOS,83,25,18,41500135,42015,29,L,17,77,6,44,0.72,34,5,0.241,4/26/16,20,1,1610612738
240,8,24,Atlanta Hawks,26,0.514,3,12,ATL @ BOS,ATL,104,27,20,41500136,42015,38,W,23,74,12,42,0.741,39,6,0.333,4/28/16,20,1,1610612737
240,7,32,Boston Celtics,16,0.362,10,-12,BOS vs. ATL,BOS,92,18,17,41500136,42015,34,L,29,94,4,43,0.944,33,5,0.219,4/28/16,12,1,1610612738
240,10,25,Golden State Warriors,26,0.429,15,26,GSW vs. HOU,GSW,104,24,16,41500141,42015,39,W,22,91,7,53,0.667,38,10,0.4,4/16/16,18,1,1610612744
240,6,22,Houston Rockets,16,0.357,13,-26,HOU @ GSW,HOU,78,24,12,41500141,42015,30,L,28,84,6,51,0.5,38,10,0.273,4/16/16,24,1,1610612745
240,8,23,Golden State Warriors,27,0.494,13,9,GSW vs. HOU,GSW,115,38,27,41500142,42015,40,W,24,81,6,39,0.711,26,10,0.348,4/18/16,13,1,1610612744
240,10,25,Houston Rockets,21,0.443,12,-9,HOU @ GSW,HOU,106,33,26,41500142,42015,35,L,34,79,5,37,0.788,25,4,0.4,4/18/16,19,1,1610612745
