,DISPLAY_LAST_COMMA_FIRST,TEAM_CITY,GAMES_PLAYED_FLAG,TEAM_CODE,TO_YEAR,TEAM_NAME,PLAYERCODE,DISPLAY_FIRST_LAST,PERSON_ID,FROM_YEAR,TEAM_ABBREVIATION,ROSTERSTATUS,FT_RATE15,FT_RATE14,FT_RATE13
63,"Bjelica, Nemanja",Minnesota,Y,timberwolves,2016,Timberwolves,nemanja_bjelica,Nemanja Bjelica,202357,2015,MIN,1,0.727,-1,-1
64,"Black, Tarik",Los Angeles,Y,lakers,2016,Lakers,tarik_black,Tarik Black,204028,2014,LAL,1,0.422,0.517,-1
65,"Blair, DeJuan",,Y,,2015,,dejuan_blair,DeJuan Blair,201971,2009,,0,0.385,0.667,0.636
66,"Blair, DeJuan",Washington,Y,wizards,2015,Wizards,dejuan_blair,DeJuan Blair,201971,2009,WAS,1,0.385,0.667,0.636
67,"Blake, Steve",Detroit,Y,pistons,2015,Pistons,steve_blake,Steve Blake,2581,2003,DET,1,0.8,0.707,0.8
68,"Blatche, Andray",Brooklyn,Y,nets,2013,Nets,andray_blatche,Andray Blatche,101154,2005,BKN,1,-1,-1,0.742
69,"Bledsoe, Eric",Phoenix,Y,suns,2016,Suns,eric_bledsoe,Eric Bledsoe,202339,2010,PHX,1,0.802,0.8,0.772
70,"Blue, Vander",Los Angeles,Y,lakers,2014,Lakers,vander_blue,Vander Blue,203505,2013,LAL,1,-1,0.4,0.2
71,"Bogans, Keith",Boston,Y,celtics,2013,Celtics,keith_bogans,Keith Bogans,2586,2003,BOS,1,-1,-1,1
72,"Bogdanovic, Bojan",Brooklyn,Y,nets,2016,Nets,bojan_bogdanovic,Bojan Bogdanovic,202711,2014,BKN,1,0.833,0.821,-1
73,"Bogut, Andrew",Golden State,Y,warriors,2016,Warriors,andrew_bogut,Andrew Bogut,101106,2005,GSW,1,0.48,0.524,0.344
74,"Bonner, Matt",San Antonio,Y,spurs,2015,Spurs,matt_bonner,Matt Bonner,2588,2004,SAS,1,0.75,0.811,0.75
75,"Booker, Devin",Phoenix,Y,suns,2016,Suns,devin_booker,Devin Booker,1626164,2015,PHX,1,0.84,-1,-1
76,"Booker, Trevor",Utah,Y,jazz,2016,Jazz,trevor_booker,Trevor Booker,202344,2010,UTA,1,0.67,0.581,0.618
77,"Boozer, Carlos",Los Angeles,Y,lakers,2014,Lakers,carlos_boozer,Carlos Boozer,2430,2002,LAL,1,-1,0.627,0.767
78,"Bosh, Chris",Miami,Y,heat,2016,Heat,chris_bosh,Chris Bosh,2547,2003,MIA,1,0.795,0.772,0.82
79,"Bradley, Avery",Boston,Y,celtics,2016,Celtics,avery_bradley,Avery Bradley,202340,2010,BOS,1,0.78,0.79,0.804
80,"Brand, Elton",Philadelphia,Y,sixers,2016,76ers,elton_brand,Elton Brand,1882,1999,PHI,1,0.889,0.522,0.649
81,"Brewer, Corey",Houston,Y,rockets,2016,Rockets,corey_brewer,Corey Brewer,201147,2007,HOU,1,0.75,0.705,0.718
82,"Brewer, Ronnie",Chicago,Y,bulls,2013,Bulls,ronnie_brewer,Ronnie Brewer,200758,2006,CHI,1,-1,-1,0
83,"Brooks, Aaron",Chicago,Y,bulls,2016,Bulls,aaron_brooks,Aaron Brooks,201166,2007,CHI,1,0.766,0.833,0.841
84,"Brooks, MarShon",Los Angeles,Y,lakers,2013,Lakers,marshon_brooks,MarShon Brooks,202705,2011,LAL,1,-1,-1,0.786
85,"Brown, Anthony",Los Angeles,Y,lakers,2016,Lakers,anthony_brown,Anthony Brown,1626148,2015,LAL,1,0.85,-1,-1
86,"Brown, Jabari",Los Angeles,Y,lakers,2014,Lakers,jabari_brown,Jabari Brown,203913,2014,LAL,1,-1,0.753,-1
87,"Brown, Lorenzo",Detroit,Y,pistons,2016,Pistons,lorenzo_brown,Lorenzo Brown,203485,2013,DET,1,0.75,0.632,0.692
88,"Brown, Markel",Brooklyn,Y,nets,2016,Nets,markel_brown,Markel Brown,203900,2014,BKN,1,0.755,0.825,-1
89,"Brown, Shannon",New York,Y,knicks,2014,Knicks,shannon_brown,Shannon Brown,200769,2006,NYK,1,-1,0.75,0.778
90,"Brown, Shannon",,Y,,2014,,shannon_brown,Shannon Brown,200769,2006,,0,-1,0.75,0.778
91,"Bryant, Kobe",,Y,,2015,,kobe_bryant,Kobe Bryant,977,1996,,0,0.826,0.813,0.857
92,"Bryant, Kobe",Los Angeles,Y,lakers,2015,Lakers,kobe_bryant,Kobe Bryant,977,1996,LAL,1,0.826,0.813,0.857
93,"Budinger, Chase",Phoenix,Y,suns,2015,Suns,chase_budinger,Chase Budinger,201978,2009,PHX,1,0.708,0.827,0.821
94,"Bullock, Reggie",Detroit,Y,pistons,2016,Pistons,reggie_bullock,Reggie Bullock,203493,2013,DET,1,0.933,0.8,0.778
95,"Burke, Trey",Utah,Y,jazz,2016,Jazz,trey_burke,Trey Burke,203504,2013,UTA,1,0.817,0.752,0.903
96,"Burks, Alec",Utah,Y,jazz,2016,Jazz,alec_burks,Alec Burks,202692,2011,UTA,1,0.752,0.822,0.748
97,"Butler, Caron",Sacramento,Y,kings,2015,Kings,caron_butler,Caron Butler,2406,2002,SAC,1,0.833,0.902,0.839
98,"Butler, Jimmy",Chicago,Y,bulls,2016,Bulls,jimmy_butler,Jimmy Butler,202710,2011,CHI,1,0.832,0.834,0.769
99,"Butler, Rasual",,Y,,2015,,rasual_butler,Rasual Butler,2446,2002,,0,0.688,0.791,0.571
100,"Butler, Rasual",Washington,Y,wizards,2015,Wizards,rasual_butler,Rasual Butler,2446,2002,WAS,1,0.688,0.791,0.571
101,"Buycks, Dwight",Toronto,Y,raptors,2014,Raptors,dwight_buycks,Dwight Buycks,202779,2013,TOR,1,-1,0.9,0.889
102,"Buycks, Dwight",,Y,,2014,,dwight_buycks,Dwight Buycks,202779,2013,,0,-1,0.9,0.889
103,"Bynum, Andrew",Indiana,Y,pacers,2013,Pacers,andrew_bynum,Andrew Bynum,101115,2005,IND,1,-1,-1,0.762
104,"Bynum, Will",Washington,Y,wizards,2014,Wizards,will_bynum,Will Bynum,101198,2005,WAS,1,-1,0.5,0.802
105,"Caboclo, Bruno",Toronto,Y,raptors,2016,Raptors,bruno_caboclo,Bruno Caboclo,203998,2014,TOR,1,0,0,-1
106,"Calathes, Nick",Memphis,Y,grizzlies,2014,Grizzlies,nick_calathes,Nick Calathes,201979,2013,MEM,1,-1,0.533,0.611
107,"Calderon, Jose",New York,Y,knicks,2016,Knicks,jose_calderon,Jose Calderon,101181,2005,NYK,1,0.875,0.906,0.825
108,"Caldwell-Pope, Kentavious",Detroit,Y,pistons,2016,Pistons,kentavious_caldwell-pope,Kentavious Caldwell-Pope,203484,2013,DET,1,0.811,0.696,0.77
109,"Canaan, Isaiah",Philadelphia,Y,sixers,2016,76ers,isaiah_canaan,Isaiah Canaan,203477,2013,PHI,1,0.833,0.762,0.724
110,"Capela, Clint",Houston,Y,rockets,2016,Rockets,clint_capela,Clint Capela,203991,2014,HOU,1,0.379,0.174,-1
111,"Carroll, DeMarre",Toronto,Y,raptors,2016,Raptors,demarre_carroll,DeMarre Carroll,201960,2009,TOR,1,0.6,0.702,0.773
112,"Carter-Williams, Michael",Milwaukee,Y,bucks,2016,Bucks,michael_carter-williams,Michael Carter-Williams,203487,2013,MIL,1,0.654,0.643,0.703
113,"Carter, Vince",Memphis,Y,grizzlies,2016,Grizzlies,vince_carter,Vince Carter,1713,1998,MEM,1,0.833,0.789,0.821
114,"Casspi, Omri",Sacramento,Y,kings,2016,Kings,omri_casspi,Omri Casspi,201956,2009,SAC,1,0.648,0.733,0.68
115,"Cauley-Stein, Willie",Sacramento,Y,kings,2016,Kings,willie_cauley-stein,Willie Cauley-Stein,1626161,2015,SAC,1,0.648,-1,-1
116,"Chalmers, Mario",,Y,,2015,,mario_chalmers,Mario Chalmers,201596,2008,,0,0.923,0.774,0.742
117,"Chalmers, Mario",Miami,Y,heat,2015,Heat,mario_chalmers,Mario Chalmers,201596,2008,MIA,1,0.923,0.774,0.742
118,"Chandler, Tyson",Phoenix,Y,suns,2016,Suns,tyson_chandler,Tyson Chandler,2199,2001,PHX,1,0.62,0.72,0.632
119,"Chandler, Wilson",Denver,Y,nuggets,2016,Nuggets,wilson_chandler,Wilson Chandler,201163,2007,DEN,1,-1,0.775,0.724
120,"Cherry, Will",,Y,,2014,,will_cherry,Will Cherry,203805,2014,,0,-1,0.5,-1
121,"Childress, Josh",,Y,,2013,,josh_childress,Josh Childress,2735,2004,,0,-1,-1,0
122,"Christmas, Dionte",Phoenix,Y,suns,2013,Suns,dionte_christmas,Dionte Christmas,202091,2013,PHX,1,-1,-1,0.75
123,"Christmas, Rakeem",Indiana,Y,pacers,2016,Pacers,rakeem_christmas,Rakeem Christmas,1626176,2015,IND,1,0,-1,-1
124,"Christopher, Patrick",,Y,,2014,,patrick_christopher,Patrick Christopher,203565,2014,,0,-1,0,-1
125,"Clark, Earl",Brooklyn,Y,nets,2014,Nets,earl_clark,Earl Clark,201947,2009,BKN,1,-1,0.25,0.583
126,"Clark, Ian",Golden State,Y,warriors,2016,Warriors,ian_clark,Ian Clark,203546,2013,GSW,1,0.824,1,0.714
127,"Clarke, Coty",,Y,,2015,,coty_clarke,Coty Clarke,1626262,2015,,0,0,-1,-1
128,"Clarkson, Jordan",Los Angeles,Y,lakers,2016,Lakers,jordan_clarkson,Jordan Clarkson,203903,2014,LAL,1,0.804,0.829,-1
129,"Claver, Victor",Portland,Y,blazers,2014,Trail Blazers,victor_claver,Victor Claver,201964,2012,POR,1,-1,0,0.909
130,"Claver, Victor",,Y,,2014,,victor_claver,Victor Claver,201964,2012,,0,-1,0,0.909
131,"Cole, Norris",New Orleans,Y,pelicans,2015,Pelicans,norris_cole,Norris Cole,202708,2011,NOP,1,0.8,0.696,0.779
132,"Collins, Jason",Brooklyn,Y,nets,2013,Nets,jason_collins,Jason Collins,2215,2001,BKN,1,-1,-1,0.75
133,"Collison, Darren",Sacramento,Y,kings,2016,Kings,darren_collison,Darren Collison,201954,2009,SAC,1,0.858,0.788,0.857
134,"Collison, Nick",Oklahoma City,Y,thunder,2016,Thunder,nick_collison,Nick Collison,2555,2003,OKC,1,0.697,0.692,0.71
135,"Conley, Mike",Memphis,Y,grizzlies,2016,Grizzlies,mike_conley,Mike Conley,201144,2007,MEM,1,0.834,0.859,0.815
136,"Connaughton, Pat",Portland,Y,blazers,2016,Trail Blazers,pat_connaughton,Pat Connaughton,1626192,2015,POR,1,1,-1,-1
137,"Cooley, Jack",Utah,Y,jazz,2014,Jazz,jack_cooley,Jack Cooley,204022,2014,UTA,1,-1,0.429,-1
138,"Copeland, Chris",,Y,,2016,,chris_copeland,Chris Copeland,203142,2012,,0,0.857,0.733,0.714
139,"Cotton, Bryce",Memphis,Y,grizzlies,2015,Grizzlies,bryce_cotton,Bryce Cotton,203955,2014,MEM,1,0,0.833,-1
140,"Cousins, DeMarcus",Sacramento,Y,kings,2016,Kings,demarcus_cousins,DeMarcus Cousins,202326,2010,SAC,1,0.718,0.782,0.726
141,"Covington, Robert",Philadelphia,Y,sixers,2016,76ers,robert_covington,Robert Covington,203496,2013,PHI,1,0.791,0.82,0
142,"Crabbe, Allen",Portland,Y,blazers,2016,Trail Blazers,allen_crabbe,Allen Crabbe,203459,2013,POR,1,0.867,0.75,0.75
